episode,episode_step,global_step,reward,terminated,truncated,model_steering,model_drive,obs_lidar_00,obs_lidar_01,obs_lidar_02,obs_lidar_03,obs_lidar_04,obs_lidar_05,obs_lidar_06,obs_lidar_07,obs_lidar_08,obs_lidar_09,obs_lidar_10,obs_lidar_11,obs_lidar_min,obs_front_lidar_min,obs_left_lidar_min,obs_back_lidar_min,obs_right_lidar_min,obs_vision_visible,obs_pursuer_dx,obs_pursuer_dy,obs_pursuer_distance,obs_pursuer_sin_bearing,obs_ego_speed,obs_ego_acceleration,obs_ego_steering,obs_ego_yaw_rate,obs_ego_heading_sin,obs_ego_heading_cos,obs_ego_touch,obs_avoidance_front_risk,obs_avoidance_danger_delta,obs_avoidance_turn_direction,obs_avoidance_heading_progress,obs_avoidance_heading_remaining,distance_to_pursuer,obstacle_distance,front_obstacle_distance,left_obstacle_distance,right_obstacle_distance,back_obstacle_distance,front_corridor_risk,obstacle_risk_escape_scale,min_lidar,front_lidar,pursuer_visible,front_pursuer_visible,left_pursuer_visible,right_pursuer_visible,back_pursuer_visible,pursuer_reward_total,obstacle_reward_total,movement_reward_total,stability_reward_total,survival_reward_total,front_obstacle_penalty,side_obstacle_penalty,back_obstacle_penalty,obstacle_clearance_delta_reward,obstacle_collision_free_reward,back_approach_penalty,front_blocked_speed_penalty,front_blocked_drive_penalty,front_blocked_straight_penalty,front_blocked_brake_reward,obstacle_action_reward,obstacle_action_penalty,obstacle_target_steering,obstacle_target_drive,obstacle_steering_error,obstacle_drive_error,obstacle_turn_commitment_reward,obstacle_turn_switch_penalty,obstacle_turn_progress_reward,obstacle_wrong_heading_penalty,obstacle_insufficient_turn_penalty,obstacle_heading_progress,obstacle_heading_goal,obstacle_safety_intervention_penalty,moving_away_reward,visual_moving_away_reward,radial_escape_reward,tangential_orbit_penalty,raw_distance_delta,distance_delta,exploration_reward,movement_reward,rewarded_moved_distance,still_penalty,obstacle_stall_penalty,fast_turn_penalty,tight_turn_penalty,long_curve_penalty,straight_drive_reward,clear_path_straight_reward,unnecessary_turn_penalty,avoidance_turn_reward,over_avoidance_turn_penalty,clear_front_turn_penalty,straighten_reward,turn_towards_obstacle_penalty,turn_towards_visible_pursuer_penalty,path_prediction_reward,action_smoothness_penalty,tilt_penalty,overspeed_penalty,survival_reward,captured,obstacle_collision,rollover,touch_contact,raw_touch_sensor_contact,touch_collision_plausible,moved_distance,speed_kmh,target_speed,throttle,brake,policy_steering,policy_drive,policy_steering_index,policy_drive_index,quantized_steering,quantized_drive,applied_steering,applied_drive,current_steering,steering_direction_streak,obstacle_turn_direction,obstacle_safety_active,obstacle_safety_action_delta,evader_steering_target,evader_steering_command_target,evader_steering_stabilization_active,evader_steering_stabilization_delta,evader_steering_commit_direction,evader_steering_commit_steps_left,pursuer_avoidance_active,pursuer_avoidance_obstacle_count,pursuer_avoidance_side,pursuer_avoidance_commit_steps_left,pursuer_return_to_chase_steps_left,pursuer_contact_active,pursuer_contact_source,pursuer_contact_memory_steps_left,pursuer_x,pursuer_y,pursuer_next_x,pursuer_next_y,pursuer_move_x,pursuer_move_y,pursuer_move_distance,pursuer_heading,pursuer_guidance_x,pursuer_guidance_y,pursuer_knows_exact_position,pursuer_target_x,pursuer_target_y,pursuer_lidar_avoidance_active,pursuer_lidar_front_distance,pursuer_lidar_left_distance,pursuer_lidar_right_distance,pursuer_lidar_danger_count,pursuer_planner_active,pursuer_planner_path_length,pursuer_planner_replan,pursuer_planner_stuck_recovery,pursuer_count,pursuer_direct_chase_hold_steps_left,pursuer_behavior_limited,pursuer_line_of_sight,pursuer_info_mode,pursuer_hint_refresh,pursuer_hint_age_seconds,timing_total_ms,timing_control_ms,timing_pursuer_ms,timing_webots_ms,timing_webots_max_step_ms,timing_webots_steps,timing_observation_ms,timing_reward_ms,timing_finish_ms,timing_display_ms
1,1,1,0.2592860913697272,0,0,2.0,2.0,0.9047709107398987,0.839264988899231,1.0,0.622501015663147,0.5171021819114685,0.5708703398704529,1.0,1.0,1.0,1.0,1.0,1.0,0.5171021819114685,0.839264988899231,0.5171021819114685,1.0,1.0,0.0,0.669582188129425,0.8535318374633789,1.0,0.786788284778595,0.0,0.0,0.0,0.0005079551483504474,-0.00010319720604456961,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,130.17971801757812,12.927770614624023,20.98184585571289,12.927770614624023,25.0,25.0,0.0,1.0,0.5171108245849609,0.8392738342285156,0.0,0.0,0.0,0.0,0.0,1.000504674273543,0.15264095937615402,-1.4713595324452036,0.5774999901652337,0.0,-0.0,-0.009578733943701432,-1.3619978928745457e-05,0.00061492919921875,0.15,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.0,0.00030517578125,0.0,0.0005046742735430598,-0.0,7.62939453125e-05,7.62939453125e-05,1.5,0.0006404680316336453,0.00042697868775576353,-3.0,0.0,-0.0,-0.0,-0.0,0.27999999523162844,0.3499999940395355,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.011618384099565447,-0.052499999105930326,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042697868775576353,0.8365236551687121,23.26086922832157,0.4206521686004555,0.0,0.0,0.3499999940395355,2.0,2.0,0.0,0.3499999940395355,0.0,0.3499999940395355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.04,51.73810000997037,0.7170999888330698,0.002500019036233425,44.42910000216216,21.815399988554418,4.0,3.432100056670606,2.26089998614043,0.8532999781891704,0.000800006091594696
1,2,2,-0.11692089140633,0,0,2.0,4.0,0.9047423005104065,0.8392738103866577,1.0,0.6224806308746338,0.5171108245849609,0.5730130672454834,1.0,1.0,1.0,1.0,1.0,1.0,0.5171108245849609,0.8392738103866577,0.5171108245849609,1.0,1.0,0.0,0.6695853471755981,0.8535300493240356,1.0,0.7867862582206726,0.011950338259339333,0.7261490225791931,0.0,-0.007118252571672201,8.154485158229363e-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,130.18113708496094,12.927770614624023,20.98184585571289,12.927770614624023,25.0,25.0,0.0,1.0,0.5171108245849609,0.8392738342285156,0.0,0.0,0.0,0.0,0.0,1.0059500290080905,0.14040764607736983,-2.965778570068069,1.7025000035762787,0.0,-0.0,-0.009578733943701432,-1.3619978928745457e-05,0.0,0.15,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.0,0.00567626953125,0.0,0.005950029008090496,-0.0,0.0014190673828125,0.0014190673828125,-0.05,0.004221429931931198,0.002814286621287465,-3.0,0.0,-0.0,-0.0,-0.0,0.8,1.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.09749999642372131,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002814286621287465,0.44729510352015495,32.4,1.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08,35.55819997563958,1.0082999942824244,0.001600012183189392,26.306399959139526,13.743499992415309,4.0,4.942100029438734,2.495399909093976,0.7461000932380557,0.0008998904377222061
1,3,3,0.009699146429400729,0,0,2.0,4.0,0.9047423005104065,0.8392738103866577,1.0,0.6224806308746338,0.5171108245849609,0.5730130672454834,1.0,1.0,1.0,1.0,1.0,1.0,0.5171108245849609,0.8392738103866577,0.5171108245849609,1.0,1.0,0.0,0.6696085333824158,0.8535270094871521,1.0,0.7867748141288757,0.006389929912984371,-0.3378719985485077,0.0,-0.007118252571672201,-3.065303462790325e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,130.1851348876953,12.929591178894043,20.981645584106445,12.929591178894043,25.0,25.0,0.0,1.0,0.5171836471557617,0.8392658233642578,0.0,0.0,0.0,0.0,0.0,1.0166460573673248,0.15289918380635603,-2.95984609474428,1.8,0.0,-0.0,-0.009573024884456958,-1.3619978928745457e-05,0.0013963699340820313,0.15,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.0,0.0159912109375,0.0,0.01664605736732483,-0.0,0.003997802734375,0.003997802734375,-0.05,0.01015390525572002,0.006769270170480013,-3.0,0.0,-0.0,-0.0,-0.0,0.8,1.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.011089458735659719,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006769270170480013,0.7984410289674998,32.4,1.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.12,51.351499976590276,0.6962999468669295,0.000600004568696022,42.82390000298619,24.501900072209537,4.0,4.215100081637502,2.612299984320998,0.9701999370008707,0.000500003807246685
1,4,4,0.025354712828503212,0,0,2.0,4.0,0.9047592878341675,0.8392658233642578,1.0,0.6225759387016296,0.5171836614608765,0.5714232921600342,1.0,1.0,1.0,1.0,1.0,1.0,0.5171836614608765,0.8392658233642578,0.5171836614608765,1.0,1.0,0.0,0.6696622967720032,0.8535271286964417,1.0,0.7867507934570312,0.011406300589442253,0.3048141598701477,0.0,0.00013750579091720283,-3.547403321135789e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,130.19122314453125,12.926047325134277,20.97283172607422,12.926047325134277,25.0,25.0,0.0,1.0,0.5170418930053711,0.8389132690429687,0.0,0.0,0.0,0.0,0.0,1.0264233704656363,0.1530478901038629,-2.954116547740996,1.8,0.0,-0.0,-0.009584141154316148,-1.3619978928745457e-05,-0.0030694198608398437,0.15,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.0,0.02435302734375,0.0,0.026423370465636253,-0.0,0.0060882568359375,0.0060882568359375,-0.05,0.015883452259004116,0.01058896817266941,-3.0,0.0,-0.0,-0.0,-0.0,0.8,1.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.015715071097947658,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01058896817266941,1.1314851190522315,32.4,1.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.16,38.649900001473725,0.6431998917832971,0.000700005330145359,30.10780003387481,15.397700015455484,4.0,4.7302000457420945,2.3246000055223703,0.7938999915495515,0.000500003807246685
1,5,5,-0.5655538562131361,0,0,2.0,3.0,0.904375433921814,0.8389132618904114,1.0,0.6224094033241272,0.5170419216156006,0.5864452719688416,1.0,1.0,1.0,1.0,1.0,1.0,0.5170419216156006,0.8389132618904114,0.5170419216156006,1.0,1.0,0.0,0.6697428226470947,0.8535284399986267,1.0,0.7867152094841003,0.01616407372057438,0.2891007661819458,0.0,2.283832145622e-05,-3.54342810169328e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,130.1991424560547,12.926047325134277,20.97283172607422,12.926047325134277,25.0,25.0,0.0,1.0,0.5170418930053711,0.8389132690429687,0.0,0.0,0.0,0.0,0.0,1.0339620299637318,0.15906350150655332,-2.97357936443761,1.2149999767541886,0.0,-0.0,-0.009584141154316148,-1.3619978928745457e-05,0.0,0.15,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.0,0.03167724609375,0.0,0.033962029963731766,-0.0,0.0079193115234375,0.0079193115234375,-0.05,0.020420636516064405,0.01361375767737627,-3.0,0.0,-0.0,-0.0,-0.0,0.5599999904632569,0.699999988079071,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.018661262639798223,-0.04500000178813934,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01361375767737627,1.343610910065472,32.4,0.7326086850269979,0.0,0.0,0.699999988079071,2.0,3.0,0.0,0.699999988079071,0.0,0.699999988079071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,36.22769995126873,0.596800004132092,0.000500003807246685,26.70289995148778,15.027399989776313,4.0,5.783399916253984,2.3725000210106373,0.7294999668374658,0.000400003045797348
1,6,6,0.007429966344566052,0,0,2.0,4.0,0.904375433921814,0.8389132618904114,1.0,0.6224094033241272,0.5170419216156006,0.5864452719688416,1.0,1.0,1.0,1.0,1.0,1.0,0.5170419216156006,0.8389132618904114,0.5170419216156006,1.0,1.0,0.0,0.6698474884033203,0.85353022813797,1.0,0.7866690158843994,0.01919444091618061,0.18413697183132172,0.0,2.283832145622e-05,-3.42262392223347e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,130.20909118652344,12.918575286865234,20.950889587402344,12.918575286865234,25.0,25.0,0.0,1.0,0.5167430114746093,0.8380355834960938,0.0,0.0,0.0,0.0,0.0,1.041772898286581,0.15545379900846,-2.9447967291623356,1.7549999982118607,0.0,-0.0,-0.009607622329060908,-1.3619978928745457e-05,-0.007479286193847656,0.15,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.0,0.039794921875,0.0,0.04177289828658104,-0.0,0.00994873046875,0.00994873046875,-0.05,0.025203270837664604,0.01680218055844307,-3.0,0.0,-0.0,-0.0,-0.0,0.8,1.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0225543275102973,-0.04500000178813934,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01680218055844307,1.6239115807414055,32.4,1.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.24,46.79270007181913,0.6658000638708472,0.000500003807246685,39.96759990695864,16.985499998554587,4.0,3.5664000315591693,1.9472999265417457,0.6061000749468803,0.000300002284348011
1,7,7,0.07792883293244346,0,0,2.0,4.0,0.9034307599067688,0.8380355834960938,1.0,0.6220384836196899,0.516743004322052,0.6169387102127075,1.0,1.0,1.0,1.0,1.0,1.0,0.516743004322052,0.8380355834960938,0.516743004322052,1.0,1.0,0.0,0.6699799299240112,0.8535317182540894,1.0,0.7866102457046509,0.02319873683154583,0.24331656098365784,0.0,2.3513863197877072e-05,-3.393593578948639e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,130.22140502929688,12.918575286865234,20.950889587402344,12.918575286865234,25.0,25.0,0.0,1.0,0.5167430114746093,0.8380355834960938,0.0,0.0,0.0,0.0,0.0,1.0505596585571766,0.16676343166741842,-2.9393942572921516,1.8,0.0,-0.0,-0.009607622329060908,-1.3619978928745457e-05,0.0,0.15,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.0,0.04925537109375,0.0,0.05055965855717659,-0.0,0.0123138427734375,0.0123138427734375,-0.05,0.03060574270784855,0.020403828471899033,-3.0,0.0,-0.0,-0.0,-0.0,0.8,1.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.02638467397540808,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020403828471899033,1.8996965262293817,32.4,1.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.28,15.107200015336275,0.41660002898424864,0.000500003807246685,7.8489999286830425,2.3059999803081155,4.0,3.9287999970838428,2.2487000096589327,0.631400034762919,0.000500003807246685
1,8,8,0.08321556292949661,0,0,2.0,4.0,0.9034307599067688,0.8380355834960938,1.0,0.6220384836196899,0.516743004322052,0.6169387102127075,1.0,1.0,1.0,1.0,1.0,1.0,0.516743004322052,0.8380355834960938,0.516743004322052,1.0,1.0,0.0,0.6701449155807495,0.8535325527191162,1.0,0.786536693572998,0.027138521894812584,0.23939666152000427,0.0,2.3513863197877072e-05,-3.367317185620777e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,130.23617553710938,12.906523704528809,20.91162872314453,12.906523704528809,25.0,25.0,0.0,1.0,0.5162609481811523,0.8364651489257813,0.0,0.0,0.0,0.0,0.0,1.0595156401395798,0.15759026483176714,-2.9338903420418503,1.8,0.0,-0.0,-0.009645618352924955,-1.3619978928745457e-05,-0.013224449157714844,0.15,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.0,0.05908203125,0.0,0.05951564013957977,-0.0,0.0147705078125,0.0147705078125,-0.05,0.03610965795814991,0.024073105305433273,-3.0,0.0,-0.0,-0.0,-0.0,0.8,1.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.030473952321335675,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024073105305433273,2.1941245671361687,32.4,1.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.32,45.38460006006062,0.543600064702332,0.000600004568696022,36.67810000479221,17.796600004658103,4.0,5.100599955767393,2.159200026653707,0.8715000003576279,0.000500003807246685
1,9,9,0.11580430446668011,0,0,2.0,4.0,0.9017345309257507,0.8364651203155518,1.0,0.6214571595191956,0.5162609219551086,0.6715101003646851,1.0,1.0,1.0,1.0,1.0,1.0,0.5162609219551086,0.8364651203155518,0.5162609219551086,1.0,1.0,0.0,0.6703444719314575,0.8535323739051819,1.0,0.786447286605835,0.031344637274742126,0.2555798888206482,0.0,2.8930671192028967e-07,-3.335197834530845e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,130.25355529785156,12.906523704528809,20.91162872314453,12.906523704528809,25.0,25.0,0.0,1.0,0.5162609481811523,0.8364651489257813,0.0,0.0,0.0,0.0,0.0,1.0687377452850342,0.17531533277137643,-2.9282487735897305,1.8,0.0,-0.0,-0.009645618352924955,-1.3619978928745457e-05,0.0,0.15,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.0,0.06951904296875,0.0,0.06873774528503418,-0.0,0.0173797607421875,0.0173797607421875,-0.05,0.04175122641026974,0.027834150940179825,-3.0,0.0,-0.0,-0.0,-0.0,0.8,1.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.03497457110323012,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027834150940179825,2.5181691194325686,32.4,1.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.36,27.847599936649203,0.4288000054657459,0.000500003807246685,20.26389993261546,10.059199994429946,4.0,4.3787999311462045,2.1394999930635095,0.5933999782428145,0.000400003045797348
1,10,10,-0.4946675485181562,0,0,2.0,3.0,0.9017345309257507,0.8364651203155518,1.0,0.6214571595191956,0.5162609219551086,0.6715101003646851,1.0,1.0,1.0,1.0,1.0,1.0,0.5162609219551086,0.8364651203155518,0.5162609219551086,1.0,1.0,0.0,0.6705805659294128,0.8535311222076416,1.0,0.7863411903381348,0.035973843187093735,0.28128868341445923,0.0,2.8930671192028967e-07,-3.3253356377827004e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,130.27316284179688,12.890501022338867,20.858837127685547,12.890501022338867,25.0,25.0,0.0,1.0,0.5156200408935547,0.8343534851074219,0.0,0.0,0.0,0.0,0.0,1.076611913740635,0.16118064528378329,-2.947460084296763,1.2149999767541886,0.0,-0.0,-0.009696371339704593,-1.3619978928745457e-05,-0.01776020050048828,0.15,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.0,0.07843017578125,0.0,0.07661191374063492,-0.0,0.0196075439453125,0.0196075439453125,-0.05,0.04653991665691137,0.031026611104607582,-3.0,0.0,-0.0,-0.0,-0.0,0.5599999904632569,0.699999988079071,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.03865083710290492,-0.04500000178813934,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031026611104607582,2.782860271409154,32.4,0.7326086850269979,0.0,0.0,0.699999988079071,2.0,3.0,0.0,0.699999988079071,0.0,0.699999988079071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4,55.168299935758114,0.4164999118074775,0.000500003807246685,46.77140002604574,24.82310007326305,4.0,4.651800030842423,2.5496999733150005,0.7483999943360686,0.000500003807246685
